epoch,loss,train-acc,test-acc
0,26881.924808502197,0.20292,0.2095
1,24669.4418759346,0.24446,0.2435
2,23381.675124406815,0.2823,0.2809
3,22389.96774995327,0.31448,0.2997
4,20997.90915477276,0.38076,0.3634
5,19721.2653504014,0.42842,0.4129
6,18455.436624109745,0.49762,0.4844
7,17187.491658985615,0.54826,0.5244
8,16081.573103368282,0.56514,0.5603
9,15365.370400696993,0.59888,0.5524
10,14554.047676235437,0.61068,0.5876
13,12770.087487339973,0.6693,0.6481
14,12285.562732487917,0.69,0.6587
15,11943.429719090462,0.70642,0.6877
16,11440.40808391571,0.71138,0.6792
17,11014.866523653269,0.72718,0.6943
18,10716.60888388753,0.74178,0.7039
19,10390.908465117216,0.74386,0.691
20,10090.470140606165,0.75614,0.7191
21,9821.942278891802,0.76106,0.7236
22,9640.881721377373,0.7672,0.7345
23,9344.012793958187,0.75624,0.7121
24,9107.85102263093,0.7789,0.7483
25,8965.052777677774,0.78618,0.7698
26,8698.226066291332,0.7931,0.7626
27,8480.68436986208,0.79324,0.7526
28,8359.763431966305,0.79704,0.7731
29,8128.0093960464,0.80096,0.7682
30,7987.953804552555,0.80914,0.7778
31,7773.017209589481,0.81618,0.7781
32,7722.067317634821,0.81372,0.7798
33,7556.555116504431,0.81788,0.7873
34,7354.704227387905,0.80632,0.7765
35,7337.327014833689,0.81984,0.7881
36,7201.925067901611,0.83352,0.7933
37,6999.072935461998,0.83498,0.7993
38,7004.463447213173,0.83438,0.7867
39,6805.805111080408,0.84202,0.8025
40,6727.082790195942,0.83994,0.8101
41,6632.224698841572,0.8393,0.8024
42,6578.61923032999,0.8407,0.8017
43,6387.763117879629,0.84828,0.8018
44,6328.795132994652,0.84902,0.812
45,6263.126167953014,0.85388,0.81
46,6224.354364305735,0.85422,0.8159
47,6007.875105470419,0.85606,0.8098
48,6063.966729015112,0.8618,0.8169
49,6016.223122775555,0.85,0.8231
50,5876.507282912731,0.85372,0.8017
51,5898.296276092529,0.85826,0.7991
52,5666.71830317378,0.86584,0.82
53,5702.550559937954,0.86446,0.8244
54,5599.651440650225,0.86748,0.824
55,5494.9112175107,0.86682,0.8174
56,5451.802125245333,0.86876,0.8216
57,5398.6689004004,0.86896,0.8272
58,5376.64187541604,0.87272,0.8205
59,5305.333975791931,0.8755,0.8275
60,5274.295924782753,0.87212,0.8294
61,5247.308858782053,0.8773,0.8309
62,5177.3358897566795,0.87608,0.8208
63,5055.0639417767525,0.87972,0.8341
64,4963.596130549908,0.87672,0.8239
65,4940.832721054554,0.88426,0.8336
66,4950.857363164425,0.88444,0.8371
67,4886.640894293785,0.88244,0.8336
68,4900.203058183193,0.882,0.8412
69,4847.074349492788,0.8816,0.8255
70,4774.204816639423,0.89074,0.8439
71,4762.315871983767,0.88588,0.8335
72,4685.129038631916,0.88656,0.8432
73,4628.3762937784195,0.88608,0.8384
74,4572.658458888531,0.89142,0.8383
75,4608.688054412603,0.89252,0.8501
76,4375.260087311268,0.89334,0.8374
77,4426.492193967104,0.8928,0.8409
78,4436.20179143548,0.89692,0.8458
79,4426.369264811277,0.89444,0.8418
80,4296.214580386877,0.8971,0.85
81,4194.315112143755,0.90134,0.851
82,4202.914474785328,0.89484,0.8412
83,4165.880615383387,0.89356,0.8403
84,4316.17273235321,0.90004,0.8435
85,4244.710872709751,0.8959,0.8492
86,4183.566320538521,0.90016,0.8443
87,4074.8778060376644,0.89944,0.8437
88,4111.502770990133,0.90238,0.8549
89,4022.2024205327034,0.90348,0.8494
90,4031.1846700012684,0.90274,0.8457
91,4069.2570556998253,0.90396,0.8473
92,3921.4545733332634,0.90926,0.8507
93,3924.8499596118927,0.90026,0.8376
94,3961.780037999153,0.90838,0.8454
95,3825.3391648828983,0.90864,0.8553
96,3903.0881555080414,0.90808,0.8554
97,3844.9197331368923,0.9063,0.8507
98,3878.8626191318035,0.90318,0.8466
99,3839.5743716061115,0.9084,0.8551
100,3763.4958577752113,0.90954,0.8528
101,3808.014961361885,0.90958,0.8567
102,3694.628530651331,0.90976,0.8472
103,3728.644973605871,0.91122,0.8481
104,3671.918030500412,0.91298,0.8541
105,3645.8290525376797,0.91486,0.8537
106,3626.696143180132,0.91626,0.8525
107,3617.8744282722473,0.9151,0.8604
108,3621.354205876589,0.91372,0.8562
109,3657.70641797781,0.91292,0.8529
110,3682.9786592423916,0.91542,0.8598
