epoch,loss,train-acc,test-acc
0,18906.116727799177,0.64886,0.6337
1,11948.10486382246,0.7267,0.6953
2,9281.27218541503,0.78816,0.7493
3,7555.112104207277,0.8375,0.7756
4,6242.46597468853,0.85568,0.7833
5,5178.600890517235,0.88784,0.8045
6,4297.028632432222,0.91598,0.8161
7,3523.701321065426,0.9265,0.8126
8,2886.300848901272,0.94244,0.8213
9,2397.139822304249,0.9487,0.8117
10,1961.1240290403366,0.97098,0.8302
11,1654.1217524409294,0.96804,0.8179
12,1277.1368697881699,0.97642,0.824
13,1048.2373838722706,0.9741,0.8213
14,992.0674051046371,0.98188,0.8241
15,791.7208023965359,0.98492,0.8301
16,712.9692198634148,0.98574,0.8279
17,617.9373843073845,0.98544,0.8313
18,479.6598817706108,0.98982,0.83
19,483.758426964283,0.98828,0.8301
20,441.61659610271454,0.9905,0.8352
21,388.17329066991806,0.99384,0.8343
22,330.47664684057236,0.99368,0.8368
23,236.7883815765381,0.99148,0.8283
24,301.6002177596092,0.9921,0.8291
