epoch,loss,train-acc,test-acc
0,19420.821337282658,0.60402,0.5869
1,12465.731955379248,0.72956,0.7127
2,9744.92870771885,0.78346,0.7469
3,7955.107059627771,0.81952,0.7701
4,6720.102681994438,0.86674,0.7969
5,5611.8960610330105,0.89038,0.8061
6,4782.582278549671,0.89086,0.7959
7,4029.18752682209,0.92922,0.8205
8,3358.02887737751,0.93324,0.813
9,2824.9379630982876,0.9541,0.8217
10,2346.5405827760696,0.94588,0.8126
11,1980.7206463217735,0.96192,0.8235
12,1657.735953092575,0.97102,0.8223
13,1405.086854815483,0.97112,0.82
14,1207.0180678665638,0.9795,0.83
15,994.9485052227974,0.9794,0.8256
16,865.2617443501949,0.98178,0.8306
17,738.7349857389927,0.9859,0.8276
18,709.9349492788315,0.98556,0.8309
19,611.2413161695004,0.98556,0.8247
